time,lat,lon,alt,mode
21:01:26,-35.363262,149.1652372,5.036,GUIDED
21:01:27,-35.3632597,149.1652371,4.982,GUIDED
21:01:28,-35.3632374,149.1652371,4.985,GUIDED
21:01:29,-35.3631933,149.1652372,4.988,GUIDED
21:01:30,-35.3631283,149.1652371,4.992,GUIDED
21:01:31,-35.3630485,149.1652368,5.002,GUIDED
21:01:32,-35.3629621,149.1652365,5.011,GUIDED
21:01:33,-35.3628724,149.1652363,5.019,GUIDED
21:01:34,-35.3627812,149.1652361,5.025,GUIDED
21:01:35,-35.3626897,149.165236,5.029,GUIDED
21:01:36,-35.3625986,149.1652359,5.031,GUIDED
21:01:37,-35.3625106,149.1652357,5.044,GUIDED
21:01:38,-35.3624383,149.1652356,5.032,GUIDED
21:01:39,-35.3623867,149.1652356,5.017,GUIDED
21:01:40,-35.3623589,149.1652355,5.023,GUIDED
21:01:41,-35.362354,149.1652354,5.03,GUIDED
21:01:42,-35.3623562,149.1652385,5.022,GUIDED
21:01:43,-35.3623582,149.1652667,5.031,GUIDED
21:01:44,-35.3623596,149.1653211,5.038,GUIDED
21:01:45,-35.3623605,149.1654011,5.038,GUIDED
21:01:46,-35.362361,149.1654987,5.035,GUIDED
21:01:47,-35.3623613,149.1656045,5.03,GUIDED
21:01:48,-35.3623616,149.165714,5.028,GUIDED
21:01:49,-35.3623617,149.1658251,5.029,GUIDED
21:01:50,-35.3623617,149.1659363,5.039,GUIDED
21:01:51,-35.3623619,149.1660315,5.035,GUIDED
21:01:52,-35.3623621,149.1661013,5.016,GUIDED
21:01:53,-35.3623622,149.1661422,5.022,GUIDED
21:01:54,-35.3623621,149.1661535,5.033,GUIDED
21:01:55,-35.3623619,149.1661518,5.027,GUIDED
21:01:56,-35.3623615,149.1661494,5.024,GUIDED
21:01:57,-35.3623639,149.1661475,5.024,GUIDED
21:01:58,-35.3623874,149.1661465,5.033,GUIDED
21:01:59,-35.3624323,149.166146,5.037,GUIDED
21:02:00,-35.362498,149.1661456,5.034,GUIDED
21:02:01,-35.3625779,149.1661451,5.032,GUIDED
21:02:02,-35.3626644,149.1661446,5.028,GUIDED
21:02:03,-35.3627541,149.1661443,5.028,GUIDED
21:02:04,-35.3628449,149.1661441,5.031,GUIDED
21:02:05,-35.362936,149.166144,5.032,GUIDED
21:02:06,-35.3630271,149.1661439,5.032,GUIDED
21:02:07,-35.3631153,149.1661438,5.046,GUIDED
21:02:08,-35.363187,149.1661438,5.032,GUIDED
21:02:09,-35.3632375,149.1661436,5.017,GUIDED
21:02:10,-35.3632641,149.1661435,5.026,GUIDED
21:02:11,-35.3632685,149.1661435,5.032,GUIDED
21:02:12,-35.3632663,149.1661409,5.023,GUIDED
21:02:13,-35.3632643,149.1661136,5.031,GUIDED
21:02:14,-35.363263,149.1660601,5.04,GUIDED
21:02:15,-35.3632622,149.1659807,5.041,GUIDED
21:02:16,-35.3632616,149.1658838,5.039,GUIDED
21:02:17,-35.3632612,149.165778,5.033,GUIDED
21:02:18,-35.3632609,149.1656682,5.031,GUIDED
21:02:19,-35.3632608,149.165557,5.032,GUIDED
21:02:20,-35.3632607,149.1654462,5.04,GUIDED
21:02:21,-35.3632606,149.1653501,5.039,GUIDED
21:02:22,-35.3632605,149.1652793,5.017,GUIDED
21:02:23,-35.3632604,149.1652376,5.021,GUIDED
21:02:24,-35.3632604,149.1652258,5.031,GUIDED
21:02:25,-35.3632605,149.1652273,5.027,GUIDED
